Title,Intervention,Health condition,,,,,,
The value of ascorbic acid as a prophylactic against common colds,Vitamin C,Common cold,,,,,,
Ceftazidime: therapeutic results in various infections and kinetic studies,Antibiotic,ARI,,Further investigation was required,,,,
Cefpodoxime proxetil vs. penicillin V in pediatric streptococcal pharyngitis/tonsillitis,Antibiotic vs antibiotic,Pharyngitis,,,,,,
"Quantitative assessment of chest radiographs to evaluate the efficacy of ceftazidime versus ceftriaxone in a randomized, double-blind study in adults with community-acquired pneumonia",Antibiotic vs antibiotic,CAP,,,,,,
Effect of preventive home visits by a nurse on the outcomes of frail elderly people in the community: a randomized controlled trial. [see comments.],Vaccination,Influenza,,,,,,
Effect of preventive home visits by a nurse on the outcomes of frail elderly people in the community: a randomized controlled trial. [see comments.],Vaccination,Pneumonia,,,,,,
Identification and recall of children with chronic medical conditions for influenza vaccination,Vaccination,Influenza,,,,,,
Comparison of cefamandole and cefazolin for initial treatment of community-acquired pneumonia,Antibiotic vs antibiotic,CAP,,,,,,
Does tetanus immune globulin interfere with the immune response to simultaneous administration of tetanus-Diptheria vaccine? A comparative clinical trial in adults,Vaccination,Diptheria,,,,,,
Does tetanus immune globulin interfere with the immune response to simultaneous administration of tetanus-Diptheria vaccine? A comparative clinical trial in adults,Vaccination,Tetanus,,,,,,
"Immunogenicity, safety, and cross-reactivity of an inactivated, adjuvanted, prototype pandemic influenza (H5N1) vaccine: a phase II, double-blind, randomized trial",Vaccination,Influenza,,,,,,
Combination therapy versus monotherapy: a randomised pilot study on the evolution of inflammatory parameters after ventilator associated pneumonia [ISRCTN31976779],Antibiotic vs antibiotic,VAP,,,,,,
"Primary care based randomised, double blind trial of amoxicillin versus placebo for acute otitis media in children aged under 2 years. [see comments.]",Antibiotic,OM,,,,,,
A Comparison of Augmentin Twice Daily Versus Three Times Daily in the Treatment of Children with Acute Otitis Media,Antibiotic,OM,,,,,,
Efficacy and safety of amoxycillin/clavulanate (Augmentin) twice daily versus three times daily in the treatment of acute otitis media in children. The Augmentin 454 Study Group,Antibiotic,OM,,,,,,
Dehydroepiandrosterone treatment is not beneficial to the immune response to influenza in elderly subjects,Corticosteroid,Influenza,,,,,,
Measles-mumps-rubella and varicella vaccine responses in extremely preterm infants,Vaccination,Mumps,,,,,,
Measles-mumps-rubella and varicella vaccine responses in extremely preterm infants,Vaccination,Rubella,,,,,,
Measles-mumps-rubella and varicella vaccine responses in extremely preterm infants,Vaccination,Varicella zoster,,,,,,
Measles-mumps-rubella and varicella vaccine responses in extremely preterm infants,Vaccination,Measles,,,,,,
"A factorial-design cluster randomised controlled trial investigating the cost-effectiveness of a nutrition supplement and an exercise programme on pneumonia incidence, walking capacity and body mass index in older people living in Santiago, Chile: the CENEX study protocol",Exercise,Pneumonia,,,,,,
"A factorial-design cluster randomised controlled trial investigating the cost-effectiveness of a nutrition supplement and an exercise programme on pneumonia incidence, walking capacity and body mass index in older people living in Santiago, Chile: the CENEX study protocol",Supplementation,Pneumonia,,,,,,
Simplified treatment of acute lower respiratory tract infection with azithromycin: a comparison with erythromycin and amoxycillin. European Azithromycin Study Group,Antibiotic vs antibiotic,LRTI,,,,,,
"Trovafloxacin vs high dose amoxicillin in the treatment of community-acquired bacterial pneumonia. Results of a multicentre, double-blind study",Antibiotic vs antibiotic,CAP,,,,,,
Comparison of early intravenous to oral switch amoxicillin/clavulanate with parenteral ceftriaxone in treatment of hospitalized patients with community acquires pneumonia,Antibiotic vs antibiotic,CAP,,,,,,
Comparison of azithromycin and co-amoxiclav in the treatment of otitis media in children,Antibiotic vs antibiotic,OM,,,,,,
Effectiveness of adult vaccination programs in faith-based organizations,Vaccination,Pneumococcal,,Further investigation was required,,,,
Effectiveness of adult vaccination programs in faith-based organizations,Vaccination,Influenza,,Further investigation was required,,,,
A double-blind clinical trial on diphenhydramine in pertussis,Antihistamine,Pertussis,,,,,,
Lack of effectiveness of dexamethasone in neonatal bacterial meningitis,Corticosteroid,Meningitis,,,,,,
"Open comparative, randomised clinical trial of co-trimoxazole and co-trimazine in E.N.T. infections",Antibiotic vs antibiotic,URTI,,,,,,
Erythromycin treatment is beneficial for longstanding Moraxella catarrhalis associated cough in children,Antibiotic,Cough,,,,,,
Multicenter evaluation of azithromycin and cefaclor in acute lower respiratory tract infections,Antibiotic vs antibiotic,LRTI,,,,,,
Tigecycline versus levofloxacin for the treatment of community-acquired pneumonia: European experience,Antibiotic vs antibiotic,CAP,,,,,,
Prospective clinical trial on the efficacy of amoxycillin administered twice or four times daily in children with respiratory tract infections,Antibiotic,ARI,,,,,,
Influence of disposable ('Conchapak') and reusable humidifying systems on the incidence of ventilation pneumonia,Humidification,VAP,,,,,,
Clinical observation on treatment of 32 patients with measles by qingzhen decoction,CAM,Measles,,,,,,
"Safety, tolerability, and immunogenicity of concurrent administration of Haemophilus influenzae type b conjugate vaccine (meningococcal protein conjugate) with either measles-mumps-rubella vaccine ordiptheria-tetanus-pertussis and oral poliovirus vaccines in 14- to 23-month-old infants",Vaccination,HIB,,,,,,
Childhood mortality after a high dose of vitamin A in a high risk population. [see comments.],Vitamin A,measles,,Further investigation was required,,,,
Childhood mortality after a high dose of vitamin A in a high risk population. [see comments.],Vitamin A,pneumonia,,,,,,
Trimethoprim and rifampin in combination for chemoprophylaxis of household contacts of patients with invasive infections due to Haemophilus influenzae type b,Antibiotic,HiB,,,,,,
Rifampin chemoprophylaxis for household contacts of patients with invasive infections due to Haemophilus influenzae type b,Antibiotic,HiB,,,,,,
Infant immunization with pneumococcal CRM197 vaccines: effect of saccharide size on immunogenicity and interactions with simultaneously administered vaccines,Vaccination,Pneumococcal,,,,,,
"Comparison of two oral Antibiotic, roxithromycin and amoxicillin plus clavulanic acid, in lower respiratory tract infections",Antibiotic vs antibiotic,LRTI,,,,,,
Aztreonam in patients with acute purulent exacerbations of chronic bronchitis: failure to prevent emergence of pneumococcal infections,Antibiotic,Bronchitis,,,,,,
Studies on a new formulation of ceftazidime--ceftazidime arginine--in patients with recurrent chest infections,Antibiotic,ARI,,,,,,
Temafloxacin in acute purulent exacerbations of chronic bronchitis,Antibiotic,Bronchitis,,,,,,
Safety of Tdap-IPV given one month after Td-IPV booster in healthy young adults: a placebo-controlled trial,Vaccination,pertussis,,,,,,
Safety of Tdap-IPV given one month after Td-IPV booster in healthy young adults: a placebo-controlled trial,Vaccination,polio,,,,,,
Safety of Tdap-IPV given one month after Td-IPV booster in healthy young adults: a placebo-controlled trial,Vaccination,Diptheria,,,,,,
Safety of Tdap-IPV given one month after Td-IPV booster in healthy young adults: a placebo-controlled trial,Vaccination,Tetanus,,,,,,
A novel influenza A (H1N1) vaccine in various age groups,Vaccination,Influenza,,,,,,
Evaluation of short-course therapy with cefixime or rifampin for eradication of pharyngeally carried group A streptococci. The Ontario GAS Study Group,Antibiotic vs antibiotic,Streptococcal,,,,,,
Antibody response to influenza immunization by jet injection,Vaccination,Influenza,,,,,,
Randomised controlled trial of intrapleural streptokinase in community acquired pleural infection. [see comments.],Antibiotic,Pleural infection,,,,,,
Pneumococcal infection and immunologic response to pneumococcal vaccine in chronic obstructive pulmonary disease. A pilot study,Vaccination,Pneumococcal,,,,,,
Comparison of once-daily and twice-daily cefixime regimens with amoxicillin in the treatment of acute upper respiratory tract infections,Antibiotic vs antibiotic,URTI,,,,,,
Prolonged use of heat and moisture exchangers does not affect device efficiency or frequency rate of nosocomial pneumonia,heat and/or moisture exchanger,Pneumonia,,,,,,
Lack of effect of gemifloxacin on the steady-state pharmacokinetics of theophylline in healthy volunteers,Antibiotic,ARI,,,,,,
Studies on induced influenza in man. II. Double-blind study designed to assess the prophylactic efficacy of an analogue of amantadine hydrochloride,Antiviral,Influenza,,,,,,
"A Multicenter Study of Grepafloxacin, 5 Days 600 mg OD, vs Grepafloxacin, 10 Days 400 mg OD, vs Clarithromycin, 14 Days 500 mg BD, in the Treatment of Acute Bacterial Maxillary Sinusitis",Antibiotic vs antibiotic,Sinusitis,,,,,,
The efficacy and safety of once-daily ceftibuten compared with co-amoxiclav in the treatment of acute bacterial sinusitis,Antibiotic vs antibiotic,Sinusitis,,,,,,
Randomized comparison of once-daily ceftibuten and twice-daily clarithromycin in the treatment of acute exacerbation of chronic bronchitis,Antibiotic vs antibiotic,Bronchitis,,,,,,
An open-label comparison of the immunogenicity and tolerability of intranasal and intramuscular formulations of virosomal influenza vaccine in healthy adults,Vaccination,Influenza,,,,,,
Respiratory syncytial virus bronchiolitis: a double-blind dexamethasone efficacy study,Corticosteroid,RSV,,,,,,
Respiratory syncytial virus bronchiolitis: a double-blind dexamethasone efficacy study,Corticosteroid,Bronchiolitis,,,,,,
"Antibody induction by virosomal, MF59-adjuvanted, or conventional influenza vaccines in the elderly",Vaccination,Influenza,,,,,,
"Clinical experience with inactivated, virosomal influenza vaccine",Vaccination,Influenza,,,,,,
The virosomal influenza vaccine Invivac: immunogenicity and tolerability compared to an adjuvanted influenza vaccine (Fluad in elderly subjects,Vaccination,Influenza,,,,,,
A comparison of penicillin and tetracycline in pulmonary complications of measles; a clinical and radiological assessment,Antibiotic vs antibiotic,Measles,,,,,,
Comparative efficacy and safety of roxithromycin and clarithromycin in upper respiratory tract infections,Antibiotic vs antibiotic,URTI,,,,,,
Efficacy and tolerability of brodimoprim in otitis,Antibiotic,Otitis,,,,,,
"Comparative tolerability of intravenous erythromycin and clarithromycin in hospitalised patients with community-acquired pneumonia: Results of a double-blind, randomised, prospective study",Antibiotic vs antibiotic,CAP,,,,,,
Comparison of spiramycin with erythromycin for lower respiratory tract infections,Antibiotic vs antibiotic,LRTI,,,,,,
"[Clinical trial of new inactivated influenza vaccine ""Grifor""]",Vaccination,Influenza,,,,,,
Attenuation of influenza-like symptomatology and improvement of cell-mediated immunity with long-term N-acetylcysteine treatment,NAC,Influenza,,,,,,
"Activation of protein C following infusion of protein C concentrate in children with severe meningococcal sepsis and purpura fulminans: a randomized, double-blinded, placebo-controlled, dose-finding study",Protein C,Meningococcal,,,,,,
"A randomised, multicentre study of ceftriaxone versus standard therapy in the treatment of lower respiratory tract infections",Antibiotic vs antibiotic,LRTI,,,,,,
"[Efficacy and safety of loratadine, pseudoefedrine and acetaminophen in the non-sedating symptomatic treatment of the common cold]",decongestant,Common cold,,,,,,
